AGE,HOMEOWNER,HIT,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,AVGGIFT,CONTROLN,HPHONE_D,CLUSTER2,CHILDREN,GIFTAMNT
63,N,0,32,41,20,7,2,1,17,9702,45,4,10,5,3,5,9103,15,9509,15,10.6,98282,0,43,0,15
78,Y,1,23,46,28,8,2,3,27,9702,63,6,13,12,7,5,9004,20,9409,20,11,166937,0,18,0,10
53,Y,0,43,18,35,6,4,2,16,9702,44,6,12,5,1,5,9203,15,9507,15,10.4,175951,0,23,0,15
85,N,0,29,20,52,12,1,5,20,9702,48,4,9,15,10,5,9506,11,9407,10,7.133333333,147641,0,23,0,10
32,N,0,30,30,44,10,2,2,29,9702,63,6,13,9,6,5,8812,20,9502,20,11.44444444,41222,1,41,0,20
66,Y,25,26,26,50,7,3,1,27,9702,65,5,12,21,15,3,9404,5,8910,5,4.80952381,65806,1,9,0,5
42,Y,0,33,36,31,5,1,4,21,9702,51,6,13,13,8,2,9404,11,9505,5,4.692307692,141308,0,37,2,4
51,Y,14,38,36,22,2,4,0,17,9702,41,6,13,4,3,5,9301,30,9601,30,17.75,142203,1,48,0,40
96,Y,12,22,57,23,9,44,3,5,9702,13,3,8,1,0,15,9507,15,9507,15,15,79580,1,23,0,21
40,N,0,28,13,12,4,2,0,23,9702,58,3,6,23,13,3,9412,10,8805,5,5.52173913,105930,0,19,0,5
53,N,0,35,0,39,4,0,0,22,9702,65,3,8,20,11,3,8802,17,9401,5,8,169106,1,38,0,5
45,Y,1,25,61,12,11,1,7,28,9702,67,4,12,15,9,3,8705,13,9601,13,6.4,164167,1,5,0,13
65,Y,7,30,27,40,7,8,3,27,9702,70,4,11,17,14,5,8807,11,9301,11,8.058823529,119966,1,35,0,11
37,N,0,35,41,21,11,4,6,15,9702,37,6,13,7,3,5,9310,20,9504,15,14.28571429,41537,0,20,0,50
81,N,0,26,16,59,3,3,0,16,9702,42,3,9,14,5,5,9112,10,9312,10,6.642857143,35276,0,7,0,10
50,Y,0,37,52,17,9,6,3,28,9702,67,6,13,11,6,10,8903,25,9008,18,17.09090909,141442,0,5,0,18
69,Y,0,44,19,62,10,2,0,15,9702,41,6,14,4,3,4,9301,15,9601,15,9.75,42589,1,13,0,15
53,Y,6,40,28,42,8,9,5,31,9702,79,6,13,12,8,25,9308,75,9110,40,42.08333333,175283,1,19,0,50
47,N,3,30,38,20,5,4,8,5,9702,13,4,10,1,1,15,9601,15,9601,15,15,121641,0,20,1,21
62,Y,0,34,16,53,14,6,4,29,9702,69,5,12,12,8,3,8805,15,9501,10,9.666666667,137962,1,19,0,10
78,N,2,32,29,26,16,15,0,22,9702,53,6,13,17,10,3,9205,10,9412,10,5.764705882,72844,1,16,0,10
78,Y,14,18,41,23,3,1,3,23,9702,63,6,16,7,4,10,9210,40,9609,40,19.85714286,186271,0,12,0,40
32,Y,0,31,29,35,4,2,5,20,9702,58,3,10,16,7,2,9005,21,9603,21,6.8125,123438,0,15,1,3
63,N,0,34,29,38,8,7,1,24,9702,57,6,13,10,6,5,9002,20,9312,15,15.1,119861,0,52,0,21
70,Y,0,30,19,45,12,3,0,31,9702,71,6,14,8,5,15,9002,100,9602,100,44.375,149560,0,2,0,25
74,Y,8,34,39,42,14,6,0,28,9702,74,8,21,20,10,5,9004,25,9612,25,10.55,188304,1,53,0,10
83,Y,5,40,12,56,9,1,2,22,9702,53,4,7,20,9,5,9602,10,8705,5,6.1,42176,1,13,0,10
74,N,0,51,47,34,5,4,11,33,9702,79,6,15,28,13,5,9311,20,9001,12,10.21428571,139626,1,5,0,10
44,Y,7,21,66,0,9,9,2,22,9702,58,6,13,8,4,5,9010,25,9507,25,13.875,67495,1,12,0,30
78,N,2,25,35,20,10,4,1,33,9702,111,7,32,30,13,5,9601,10,9501,10,6.4,11023,0,12,0,5
28,Y,1,0,0,0,0,0,0,6,9702,15,4,10,1,1,23,9510,23,9510,23,23,26946,1,3,1,30
50,Y,2,22,56,4,3,5,3,21,9702,51,6,12,11,7,3,9103,10,9407,10,7.181818182,135449,1,20,0,10
63,Y,0,23,29,43,11,8,1,12,9702,28,6,13,6,4,5,9509,7,9602,7,5.333333333,126415,0,26,0,5
54,Y,28,25,28,38,10,2,0,33,9702,69,6,12,22,11,2,8902,11,9404,5,5.954545455,85010,1,39,0,9
50,Y,7,48,46,6,7,5,7,21,9702,51,3,6,15,11,2,8811,16,9203,14,9.2,129200,1,22,0,14
51,Y,4,40,16,58,6,5,0,15,9702,37,6,13,4,2,5,9310,25,9504,25,18.75,183747,0,41,0,25
62,Y,13,41,31,36,12,1,12,13,9702,33,6,12,3,1,10,9301,15,9511,15,12.33333333,77057,1,22,0,15
74,N,2,39,46,21,5,12,9,11,9702,27,6,13,4,2,4,9409,10,9508,8,7,124683,1,15,0,12
86,N,0,33,40,31,5,3,14,18,9702,65,5,25,6,1,10,9603,15,9511,10,11.5,3550,1,58,0,10
78,Y,1,48,12,75,11,7,2,32,9702,83,5,12,15,11,5,9110,13,9502,10,8.8,47161,1,19,1,10
